                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                0.86176,                0.93457,                  1.562,                0.98943,                0.97489,                0.99419,                0.89099,                0.55536,                0.78047,                   1.31,             0.00070981,             0.00070981,             0.00070981
                     61,                 0.7938,                0.92131,                  1.508,                0.98641,                0.92452,                0.99143,                0.87264,                0.60721,                 0.8178,                  1.316,             0.00069331,             0.00069331,             0.00069331
                     62,                0.85508,                0.97202,                 1.5639,                0.85058,                 0.8639,                 0.9766,                0.88089,                0.53934,                0.89055,                 1.2646,              0.0006768,              0.0006768,              0.0006768
                     63,                0.85396,                0.90032,                 1.5273,                0.99114,                0.99219,                0.99492,                 0.8905,                0.54824,                0.71754,                 1.2398,              0.0006603,              0.0006603,              0.0006603
                     64,                0.81358,                0.89226,                 1.4885,                0.96208,                0.99247,                  0.995,                0.86675,                0.64868,                0.83446,                 1.3315,              0.0006438,              0.0006438,              0.0006438
                     65,                0.85589,                0.87982,                 1.5084,                0.97752,                0.97317,                  0.995,                0.87576,                0.61032,                0.77869,                  1.262,             0.00062729,             0.00062729,             0.00062729
                     66,                0.78116,                 0.9106,                 1.4268,                 0.9867,                0.99731,                  0.995,                 0.8923,                0.52457,                0.70938,                 1.2438,             0.00061079,             0.00061079,             0.00061079
                     67,                0.82085,                0.84844,                 1.5006,                0.82234,                0.93035,                0.98881,                0.86449,                0.60869,                0.87002,                 1.2646,             0.00059429,             0.00059429,             0.00059429
                     68,                0.85854,                0.93094,                 1.4726,                0.87839,                0.93976,                 0.9934,                0.89642,                0.55376,                0.80646,                  1.244,             0.00057778,             0.00057778,             0.00057778
                     69,                0.81635,                0.86133,                 1.4968,                0.98719,                      1,                  0.995,                0.89116,                0.55463,                0.72408,                 1.2286,             0.00056128,             0.00056128,             0.00056128
                     70,                0.83078,                0.91821,                 1.4738,                0.99782,                      1,                  0.995,                0.90227,                0.50256,                 0.6635,                 1.1715,             0.00054478,             0.00054478,             0.00054478
                     71,                0.77773,                0.84337,                 1.4646,                0.99223,                      1,                  0.995,                0.89538,                0.51482,                0.67646,                 1.1827,             0.00052827,             0.00052827,             0.00052827
                     72,                0.78838,                0.88541,                 1.4607,                0.99612,                      1,                  0.995,                0.89908,                0.50368,                0.62539,                 1.1881,             0.00051177,             0.00051177,             0.00051177
                     73,                0.76977,                0.79231,                 1.4197,                0.99773,                      1,                  0.995,                0.89501,                0.54156,                0.62427,                 1.2074,             0.00049527,             0.00049527,             0.00049527
                     74,                0.75826,                0.85225,                 1.4733,                 0.9985,                      1,                  0.995,                0.90308,                0.49631,                0.62012,                 1.1704,             0.00047876,             0.00047876,             0.00047876
                     75,                0.87391,                0.85507,                 1.5314,                0.99449,                      1,                  0.995,                0.86497,                0.59992,                0.63464,                 1.2221,             0.00046226,             0.00046226,             0.00046226
                     76,                0.86802,                0.86903,                 1.5296,                 0.9937,                      1,                  0.995,                0.88398,                0.53678,                0.64469,                 1.1721,             0.00044576,             0.00044576,             0.00044576
                     77,                 0.8651,                0.83957,                 1.5122,                0.99526,                      1,                  0.995,                0.89164,                0.52081,                  0.624,                 1.1695,             0.00042925,             0.00042925,             0.00042925
                     78,                0.77064,                0.79604,                 1.4072,                0.98617,                 0.9947,                0.99423,                 0.9233,                0.46426,                0.62618,                 1.1377,             0.00041275,             0.00041275,             0.00041275
                     79,                0.75853,                  0.798,                 1.4437,                0.96966,                0.98179,                0.99431,                0.88455,                0.54522,                0.70343,                 1.1744,             0.00039625,             0.00039625,             0.00039625
                     80,                 0.7244,                0.75187,                 1.4137,                0.99861,                      1,                  0.995,                0.90714,                0.46342,                0.64579,                 1.1429,             0.00037974,             0.00037974,             0.00037974
                     81,                0.68379,                0.71598,                 1.3772,                0.99819,                      1,                  0.995,                0.90975,                0.49074,                 0.6375,                 1.1594,             0.00036324,             0.00036324,             0.00036324
                     82,                0.74537,                0.79216,                 1.4382,                0.99851,                      1,                  0.995,                0.90643,                0.45062,                0.59164,                 1.1466,             0.00034674,             0.00034674,             0.00034674
                     83,                0.71871,                0.81352,                 1.3903,                0.97861,                0.98591,                0.99492,                0.91016,                0.45071,                0.62574,                 1.1317,             0.00033023,             0.00033023,             0.00033023
                     84,                0.69513,                0.77383,                 1.3837,                0.93556,                0.97682,                0.99367,                0.91944,                0.44137,                0.66957,                 1.1202,             0.00031373,             0.00031373,             0.00031373
                     85,                0.66535,                0.75079,                 1.3684,                0.98718,                0.98788,                0.99469,                0.91385,                0.46285,                 0.6344,                 1.1335,             0.00029723,             0.00029723,             0.00029723
                     86,                0.73907,                0.80955,                  1.419,                0.98969,                0.98782,                0.99454,                0.91995,                0.46349,                0.61949,                 1.1361,             0.00028072,             0.00028072,             0.00028072
                     87,                0.74509,                0.76956,                 1.4203,                0.99035,                0.98796,                0.99469,                0.92279,                0.43643,                  0.612,                 1.1151,             0.00026422,             0.00026422,             0.00026422
                     88,                0.72474,                0.74293,                 1.3842,                0.99841,                      1,                  0.995,                0.90792,                0.47499,                0.58681,                 1.1139,             0.00024772,             0.00024772,             0.00024772
                     89,                0.68142,                0.74908,                 1.3398,                0.99872,                      1,                  0.995,                0.91978,                0.45243,                0.57099,                 1.1102,             0.00023121,             0.00023121,             0.00023121
                     90,                0.69355,                0.76808,                 1.3915,                0.99353,                0.99856,                  0.995,                0.90273,                0.48066,                0.59719,                 1.1476,             0.00021471,             0.00021471,             0.00021471
                     91,                0.62802,                 0.9277,                 1.3168,                0.98468,                0.98585,                 0.9941,                0.90653,                 0.4813,                0.68835,                 1.1492,             0.00019821,             0.00019821,             0.00019821
                     92,                0.51402,                0.76194,                 1.1564,                0.98401,                 0.9651,                0.99372,                0.92006,                0.43365,                0.80166,                 1.1137,              0.0001817,              0.0001817,              0.0001817
                     93,                0.53016,                0.74645,                 1.2141,                0.97524,                0.97622,                  0.995,                0.92027,                0.43231,                0.81362,                 1.1071,              0.0001652,              0.0001652,              0.0001652
                     94,                0.54645,                0.79687,                 1.2404,                0.98862,                0.99808,                  0.995,                0.91876,                0.44779,                0.74525,                 1.1003,              0.0001487,              0.0001487,              0.0001487
                     95,                0.54819,                0.79021,                 1.2353,                0.99265,                      1,                  0.995,                0.92433,                0.45448,                0.64017,                 1.0933,             0.00013219,             0.00013219,             0.00013219
                     96,                0.57227,                0.81604,                 1.2887,                0.99823,                      1,                  0.995,                0.93281,                0.41834,                  0.563,                 1.0676,             0.00011569,             0.00011569,             0.00011569
                     97,                0.51572,                0.72858,                 1.2025,                0.99794,                      1,                  0.995,                0.93593,                0.40568,                0.54385,                  1.058,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                 0.5242,                0.69994,                 1.2365,                0.99552,                      1,                  0.995,                0.93321,                0.40467,                 0.5448,                 1.0561,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                0.51575,                0.68985,                    1.2,                0.99516,                      1,                  0.995,                0.94319,                0.39498,                0.55207,                 1.0608,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                0.51064,                0.67057,                 1.1773,                0.99673,                      1,                  0.995,                0.94667,                0.39382,                0.56615,                 1.0655,             4.9677e-05,             4.9677e-05,             4.9677e-05
