                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                 0.6396,                0.55527,                 1.2291,                0.98405,                0.99139,                0.99349,                0.90529,                0.46184,                0.44092,                 1.0575,             0.00084184,             0.00084184,             0.00084184
                     52,                 0.6446,                0.57191,                 1.2478,                0.98568,                0.99957,                0.99449,                0.91102,                0.46282,                 0.4275,                  1.062,             0.00082533,             0.00082533,             0.00082533
                     53,                0.64673,                0.55078,                 1.2307,                0.96748,                 0.9793,                0.99426,                0.91045,                0.47665,                0.47559,                 1.0889,             0.00080883,             0.00080883,             0.00080883
                     54,                0.64108,                0.54985,                 1.2229,                0.99115,                 0.9954,                 0.9945,                0.90285,                0.51641,                 0.4279,                 1.1051,             0.00079233,             0.00079233,             0.00079233
                     55,                0.63879,                0.54634,                 1.2096,                0.98905,                0.99915,                0.99492,                0.90548,                0.48139,                0.42351,                 1.0973,             0.00077582,             0.00077582,             0.00077582
                     56,                0.63612,                0.53806,                 1.2062,                0.98921,                0.99479,                0.99492,                0.90077,                0.49755,                0.42338,                 1.0867,             0.00075932,             0.00075932,             0.00075932
                     57,                0.65589,                0.53689,                 1.2297,                 0.9859,                0.99879,                0.99468,                0.90099,                0.49987,                0.42679,                 1.0966,             0.00074282,             0.00074282,             0.00074282
                     58,                0.59422,                0.51222,                 1.1893,                0.99132,                      1,                0.99481,                0.90939,                0.48057,                0.43148,                 1.0821,             0.00072631,             0.00072631,             0.00072631
                     59,                0.59303,                0.49251,                 1.1752,                0.98754,                0.98017,                0.99414,                0.91916,                0.43362,                0.42361,                  1.045,             0.00070981,             0.00070981,             0.00070981
                     60,                0.61631,                0.51812,                 1.2137,                0.97754,                0.99732,                0.99469,                0.91878,                0.44177,                0.41747,                 1.0571,             0.00069331,             0.00069331,             0.00069331
                     61,                0.60071,                 0.4906,                 1.1803,                0.98921,                0.99991,                0.99494,                0.91724,                0.46847,                0.38559,                 1.0721,              0.0006768,              0.0006768,              0.0006768
                     62,                0.58586,                0.50429,                 1.1807,                0.96981,                0.99594,                0.99434,                 0.9097,                0.46184,                0.39441,                 1.0457,              0.0006603,              0.0006603,              0.0006603
                     63,                0.60033,                0.50399,                 1.1894,                0.99104,                      1,                0.99475,                0.91445,                0.45823,                0.40727,                 1.0484,              0.0006438,              0.0006438,              0.0006438
                     64,                0.59135,                0.48079,                 1.1846,                0.97706,                0.99435,                0.99407,                 0.9004,                0.48556,                0.39603,                 1.0542,             0.00062729,             0.00062729,             0.00062729
                     65,                0.63016,                0.50616,                 1.2155,                0.98535,                0.99963,                0.99494,                0.93666,                0.41833,                0.36642,                   1.04,             0.00061079,             0.00061079,             0.00061079
                     66,                0.59019,                0.48616,                  1.168,                0.98803,                0.98975,                0.99418,                0.91672,                 0.4391,                0.38893,                 1.0509,             0.00059429,             0.00059429,             0.00059429
